teryt_7,powiat_4,woj_2,year,population_total,weight
0608022,0608,06,2000,4480.0,0.03602154860496904
0608022,0608,06,2001,4459.0,0.03579226200032108
0608022,0608,06,2002,4448.0,0.03579879275653924
0608022,0608,06,2003,4415.0,0.03549805826023333
0608022,0608,06,2004,4396.0,0.03545104111224012
0608022,0608,06,2005,4347.0,0.03509635957015639
0608022,0608,06,2006,4283.0,0.03465995532968634
0608022,0608,06,2007,4249.0,0.03440541547231534
0608022,0608,06,2008,4256.0,0.03454938061143312
0608022,0608,06,2009,4253.0,0.03453708290361612
0608022,0608,06,2010,4264.0,0.03433061737142121
0608022,0608,06,2011,4225.0,0.034024836117061544
0608022,0608,06,2012,4179.0,0.033707049524116794
0608022,0608,06,2013,4192.0,0.03387036827561689
0608022,0608,06,2014,4182.0,0.0338741424139579
0608022,0608,06,2015,4147.0,0.033676295039100884
0608022,0608,06,2016,4124.0,0.03352000715266884
0608022,0608,06,2017,4071.0,0.033150116037620615
0608022,0608,06,2018,4066.0,0.033186418543911196
0608022,0608,06,2019,4039.0,0.03310872844120926
0608022,0608,06,2020,3919.0,0.03306670716684385
0608022,0608,06,2021,3872.0,0.03295235015276206
0608022,0608,06,2022,3855.0,0.03303540058101172
0608022,0608,06,2023,3828.0,0.033043868584154826
0608022,0608,06,2024,3795.0,0.03297705943691345
0620012,0620,06,2000,11114.0,0.06004354426550117
0620012,0620,06,2001,11115.0,0.06012007788836002
0620012,0620,06,2002,11046.0,0.059977194982896234
0620012,0620,06,2003,11076.0,0.06026246490674443
0620012,0620,06,2004,10960.0,0.05976367175784807
0620012,0620,06,2005,10916.0,0.05963528293434437
0620012,0620,06,2006,10825.0,0.059369395556481824
0620012,0620,06,2007,10757.0,0.05911901294276057
0620012,0620,06,2008,10689.0,0.058802495351472674
0620012,0620,06,2009,10652.0,0.058726238256957615
0620012,0620,06,2010,10863.0,0.059675009338812104
0620012,0620,06,2011,10789.0,0.05949827113652782
0620012,0620,06,2012,10738.0,0.059333506467672686
0620012,0620,06,2013,10695.0,0.05932537151161823
0620012,0620,06,2014,10628.0,0.059166392954367056
0620012,0620,06,2015,10607.0,0.059259631715383926
0620012,0620,06,2016,10503.0,0.05889708851105827
0620012,0620,06,2017,10407.0,0.058598302918372286
0620012,0620,06,2018,10331.0,0.05857538937807236
0620012,0620,06,2019,10240.0,0.058463172198021156
0620012,0620,06,2020,9774.0,0.05790250057760321
0620012,0620,06,2021,9723.0,0.05821423653313056
0620012,0620,06,2022,9627.0,0.05817094172029366
0620012,0620,06,2023,9530.0,0.05807434491163924
0620012,0620,06,2024,9428.0,0.05798420625353637
0611032,0611,06,2000,11114.0,0.06416081191079603
0611032,0611,06,2001,11115.0,0.0641410352588147
0611032,0611,06,2002,11046.0,0.0638224112229451
0611032,0611,06,2003,11076.0,0.06411651654433047
0611032,0611,06,2004,10960.0,0.06357161086749727
0611032,0611,06,2005,10916.0,0.06341718468599314
0611032,0611,06,2006,10825.0,0.06300051215196946
0611032,0611,06,2007,10757.0,0.06277684079064855
