teryt_7,powiat_4,woj_2,year,revenue_per_capita,weight
0608022,0608,06,2002,1162.0,0.06963087248322147
0608022,0608,06,2003,1386.0,0.07436420216761455
0608022,0608,06,2004,1381.0,0.071624915720139
0608022,0608,06,2005,1661.0,0.07395369545859305
0608022,0608,06,2006,2232.51,0.08948527658141722
0608022,0608,06,2007,1914.52,0.07124757688201235
0608022,0608,06,2008,2120.75,0.07281097573745682
0608022,0608,06,2009,2484.09,0.0787544440435708
0608022,0608,06,2010,2574.4,0.07208561342633753
0608022,0608,06,2011,2685.29,0.07253942976929009
0608022,0608,06,2012,2673.71,0.0642095639399938
0608022,0608,06,2013,3065.59,0.07599465041132089
0608022,0608,06,2014,2866.89,0.06825338667158053
0608022,0608,06,2015,3258.11,0.07380757668774196
0608022,0608,06,2016,3730.02,0.07645720919974124
0608022,0608,06,2017,4195.82,0.07643560179132222
0608022,0608,06,2018,4523.28,0.07382642349033249
0608022,0608,06,2019,4244.92,0.06424992587280516
0608022,0608,06,2020,5648.89,0.07246341674292855
0608022,0608,06,2021,6040.52,0.07506821423121107
0608022,0608,06,2022,7175.04,0.07982692950626068
0608022,0608,06,2023,6765.79,0.07540825486329238
0608022,0608,06,2024,7736.07,0.07470164994907279
0620012,0620,06,2002,1305.5,0.06815986634296604
0620012,0620,06,2003,1471.5,0.07386491981025525
0620012,0620,06,2004,1535.5,0.06993532519584623
0620012,0620,06,2005,1970.0,0.07954774883908743
0620012,0620,06,2006,1883.7649999999999,0.0688222708008291
0620012,0620,06,2007,2069.54,0.06907431361335119
0620012,0620,06,2008,2321.46,0.07021634052986347
0620012,0620,06,2009,2327.45,0.06640720460178288
0620012,0620,06,2010,2614.54,0.06829090041918139
0620012,0620,06,2011,2766.05,0.06696461265024853
0620012,0620,06,2012,2715.5249999999996,0.062309386488223206
0620012,0620,06,2013,2822.96,0.06454695989343084
0620012,0620,06,2014,3016.135,0.06753356991415606
0620012,0620,06,2015,2977.85,0.06525239189563035
0620012,0620,06,2016,3925.845,0.07488804977218903
0620012,0620,06,2017,4268.700000000001,0.07449656962729466
0620012,0620,06,2018,4961.845,0.07683369329282999
0620012,0620,06,2019,4984.764999999999,0.0690463692814081
0620012,0620,06,2020,5895.5650000000005,0.0720433910158831
0620012,0620,06,2021,6211.25,0.06595597215200547
0620012,0620,06,2022,7106.445,0.068979479695692
0620012,0620,06,2023,7164.62,0.07378541250421662
0620012,0620,06,2024,6569.445,0.05601003491331352
0611032,0611,06,2002,1305.5,0.09009972738879879
0611032,0611,06,2003,1471.5,0.09571665528344228
0611032,0611,06,2004,1535.5,0.09205359551572195
0611032,0611,06,2005,1970.0,0.10244409776391056
0611032,0611,06,2006,1883.7649999999999,0.08554633759006702
0611032,0611,06,2007,2069.54,0.08434649743623393
0611032,0611,06,2008,2321.46,0.09231139957070385
0611032,0611,06,2009,2327.45,0.08676269232188662
0611032,0611,06,2010,2614.54,0.08909733799151875
0611032,0611,06,2011,2766.05,0.08817734100073416
0611032,0611,06,2012,2715.5249999999996,0.08757231179583826
0611032,0611,06,2013,2822.96,0.08922826101042719
0611032,0611,06,2014,3016.135,0.09047910531689445
0611032,0611,06,2015,2977.85,0.08755596013268718
0611032,0611,06,2016,3925.845,0.09143744003257034
0611032,0611,06,2017,4268.700000000001,0.09076896219054997
