teryt_gmina,gmina_name,powiat_name,wojewodztwo_code
0608022,Abramów (2),lubartowski,06
0620012,Adamów (2),zamojski,06
0611032,Adamów (2),łukowski,06
1814022,Adamówka (2),przeworski,18
0602022,Aleksandrów (2),biłgorajski,06
1010012,Aleksandrów (2),piotrkowski,10
0401011,Aleksandrów Kujawski (1),aleksandrowski,04
0401042,Aleksandrów Kujawski (2),aleksandrowski,04
1020043,Aleksandrów Łódzki (3),zgierski,10
1203013,Alwernia (3),chrzanowski,12
1006022,Andrespol (2),łódzki,10
1218013,Andrychów (3),wadowicki,12
1416022,Andrzejewo (2),ostrowski,14
0607023,Annopol (3),kraśnicki,06
2001011,Augustów (1),augustowski,20
2001022,Augustów (2),augustowski,20
3009022,Babiak (2),kolski,30
1203022,Babice (2),chrzanowski,12
0809013,Babimost (3),zielonogórski,08
1602013,Baborów (3),głubczycki,16
1420032,Baboszewo (2),płoński,14
2606012,Baćkowice (2),opatowski,26
2012012,Bakałarzewo (2),suwalski,20
1821012,Baligród (2),leski,18
2607022,Bałtów (2),ostrowiecki,26
3206012,Banie (2),gryfiński,32
2818012,Banie Mazurskie (2),gołdapski,28
1415012,Baranowo (2),ostrołęcki,14
0614022,Baranów (2),puławski,06
1405032,Baranów (2),grodziski,14
3008012,Baranów (2),kępiński,30
1820013,Baranów Sandomierski (3),tarnobrzeski,18
2808022,Barciany (2),kętrzyński,28
0419013,Barcin (3),żniński,04
2814013,Barczewo (3),olsztyński,28
0224013,Bardo (3),ząbkowicki,02
2001032,Bargłów Kościelny (2),augustowski,20
3210013,Barlinek (3),myśliborski,32
0402062,Bartniczka (2),brodnicki,04
2801011,Bartoszyce (1),bartoszycki,28
2801032,Bartoszyce (2),bartoszycki,28
0418022,Baruchowo (2),włocławski,04
3215023,Barwice (3),szczecinecki,32
0605012,Batorz (2),janowski,06
0401052,Bądkowo (2),aleksandrowski,04
1002022,Bedlno (2),kutnowski,10
2603012,Bejsce (2),kazimierski,26
1406012,Belsk Duży (2),grójecki,14
1001011,Bełchatów (1),bełchatowski,10
1001022,Bełchatów (2),bełchatowski,10
0618022,Bełżec (2),tomaszowski,06
0609013,Bełżyce (3),lubelski,06
1817022,Besko (2),sanocki,18
2402022,Bestwina (2),bielski,24
1016022,Będków (2),tomaszowski,10
2401011,Będzin (1),będziński,24
3209012,Będzino (2),koszaliński,32
1017012,Biała (2),wieluński,10
1610013,Biała (3),prudnicki,16
2816013,Biała Piska (3),piski,28
0661011,Biała Podlaska (1),m.Biała,06
0601032,Biała Podlaska (2),bialski,06
1013023,Biała Rawska (3),rawski,10
1007013,Białaczów (2),opoczyński,10
0403012,Białe Błota (2),bydgoski,04
1810022,Białobrzegi (2),łańcucki,18
1401013,Białobrzegi (3),białobrzeski,14
3201011,Białogard (1),białogardzki,32
3201022,Białogard (2),białogardzki,32
0603022,Białopole (2),chełmski,06
3019022,Białośliwie (2),pilski,30
2005022,Białowieża (2),hajnowski,20
3215033,Biały Bór (3),szczecinecki,32
1217022,Biały Dunajec (2),tatrzański,12
2061011,Białystok (1),m.Białystok,20
1205023,Biecz (3),gorlicki,12
1429022,Bielany (2),sokołowski,14
0202011,Bielawa (1),dzierżoniowski,02
1005022,Bielawy (2),łowicki,10
3212012,Bielice (2),pyrzycki,32
2604012,Bieliny (2),kielecki,26
1419012,Bielsk (2),płocki,14
2003011,Bielsk Podlaski (1),bielski,20
2003032,Bielsk Podlaski (2),bielski,20
2461011,Bielsko-Biała (1),m.Bielsko-Biała,24
1603022,Bierawa (2),kędzierzyńsko-kozielski,16
2414011,Bieruń (1),bieruńsko-lędziński,24
0214023,Bierutów (3),oleśnicki,02
3202012,Bierzwnik (2),choszczeński,32
3209022,Biesiekierz (2),koszaliński,32
1437013,Bieżuń (3),żuromiński,14
0602011,Biłgoraj (1),biłgorajski,06
0602032,Biłgoraj (2),biłgorajski,06
1813013,Bircza (2),przemyski,18
1219012,Biskupice (2),wielicki,12
2812022,Biskupiec (2),nowomiejski,28
2814023,Biskupiec (3),olsztyński,28
0602042,Biszcza (2),biłgorajski,06
2801043,Bisztynek (3),bartoszycki,28
2404013,Blachownia (3),częstochowski,24
0803012,Bledzew (2),międzyrzecki,08
3007012,Blizanów (2),kaliski,30
2610022,Bliżyn (2),skarżyski,26
1014023,Błaszki (3),sieradzki,10
1816023,Błażowa (3),rzeszowski,18
1406022,Błędów (2),grójecki,14
1432013,Błonie (3),warszawski,14
3209033,Bobolice (3),koszaliński,32
1205033,Bobowa (3),gorlicki,12
2213042,Bobowo (2),starogardzki,22
0802022,Bobrowice (2),krośnieński,08
0408023,Bobrowniki (2),lipnowski,04
2401042,Bobrowniki (2),będziński,24
0402022,Bobrowo (2),brodnicki,04
1201011,Bochnia (1),bocheński,12
1201022,Bochnia (2),bocheński,12
2003042,Boćki (2),bielski,20
1419023,Bodzanów (2),płocki,14
2607032,Bodzechów (2),ostrowiecki,26
2604023,Bodzentyn (3),kielecki,26
0225033,Bogatynia (3),zgorzelecki,02
0801022,Bogdaniec (2),gorzowski,08
2612013,Bogoria (2),staszowski,26
1816033,Boguchwała (3),rzeszowski,18
0221011,Boguszów-Gorce (1),wałbrzyski,02
1416032,Boguty-Pianki (2),ostrowski,14
0809022,Bojadła (2),zielonogórski,08
3022013,Bojanowo (3),rawicki,30
1818022,Bojanów (2),stalowowolski,18
2414042,Bojszowy (2),bieruńsko-lędziński,24
1204012,Bolesław (2),dąbrowski,12
1212032,Bolesław (2),olkuski,12
0201011,Bolesławiec (1),bolesławiecki,02
0201022,Bolesławiec (2),bolesławiecki,02
1018013,Bolesławiec (2),wieruszowski,10
3210022,Boleszkowice (2),myśliborski,32
1015013,Bolimów (2),skierniewicki,10
0205023,Bolków (3),jaworski,02
0418032,Boniewo (2),włocławski,04
3004013,Borek Wielkopolski (3),gostyński,30
0615022,Borki (2),radzyński,06
1423012,Borkowice (2),przysuski,14
3215043,Borne Sulinowo (3),szczecinecki,32
2407022,Boronów (2),lubliniecki,24
1811022,Borowa (2),mielecki,18
1403032,Borowie (2),garwoliński,14
0217012,Borów (2),strzeliński,02
0609022,Borzechów (2),lubelski,06
1202012,Borzęcin (2),brzeski,12
2201012,Borzytuchom (2),bytowski,22
3008022,Bralin (2),kępiński,30
1602022,Branice (2),głubczycki,16
2802011,Braniewo (1),braniewski,28
2802022,Braniewo (2),braniewski,28
2003021,Brańsk (1),bielski,20
2003052,Brańsk (2),bielski,20
1435012,Brańszczyk (2),wyszkowski,14
1014032,Brąszewice (2),sieradzki,10
