teryt_powiat,powiat_name,wojewodztwo_code
0201,Powiat bolesławiecki,02
0202,Powiat dzierżoniowski,02
0203,Powiat głogowski,02
0204,Powiat górowski,02
0205,Powiat jaworski,02
0206,Powiat karkonoski,02
0207,Powiat kamiennogórski,02
0208,Powiat kłodzki,02
0209,Powiat legnicki,02
0210,Powiat lubański,02
0211,Powiat lubiński,02
0212,Powiat lwówecki,02
0213,Powiat milicki,02
0214,Powiat oleśnicki,02
0215,Powiat oławski,02
0216,Powiat polkowicki,02
0217,Powiat strzeliński,02
0218,Powiat średzki,02
0219,Powiat świdnicki,02
0220,Powiat trzebnicki,02
0221,Powiat wałbrzyski,02
0222,Powiat wołowski,02
0223,Powiat wrocławski,02
0224,Powiat ząbkowicki,02
0225,Powiat zgorzelecki,02
0226,Powiat złotoryjski,02
0261,Powiat m.Jelenia Góra,02
0262,Powiat m.Legnica,02
0264,Powiat m.Wrocław,02
0265,Powiat m.Wałbrzych od 2013,02
0401,Powiat aleksandrowski,04
0402,Powiat brodnicki,04
0403,Powiat bydgoski,04
0404,Powiat chełmiński,04
0405,Powiat golubsko-dobrzyński,04
0406,Powiat grudziądzki,04
0407,Powiat inowrocławski,04
0408,Powiat lipnowski,04
0409,Powiat mogileński,04
0410,Powiat nakielski,04
0411,Powiat radziejowski,04
0412,Powiat rypiński,04
0413,Powiat sępoleński,04
0414,Powiat świecki,04
0415,Powiat toruński,04
0416,Powiat tucholski,04
0417,Powiat wąbrzeski,04
0418,Powiat włocławski,04
0419,Powiat żniński,04
0461,Powiat m.Bydgoszcz,04
0462,Powiat m.Grudziądz,04
0463,Powiat m.Toruń,04
0464,Powiat m.Włocławek,04
0601,Powiat bialski,06
0602,Powiat biłgorajski,06
0603,Powiat chełmski,06
0604,Powiat hrubieszowski,06
0605,Powiat janowski,06
0606,Powiat krasnostawski,06
0607,Powiat kraśnicki,06
0608,Powiat lubartowski,06
0609,Powiat lubelski,06
0610,Powiat łęczyński,06
0611,Powiat łukowski,06
0612,Powiat opolski,06
0613,Powiat parczewski,06
0614,Powiat puławski,06
0615,Powiat radzyński,06
0616,Powiat rycki,06
0617,Powiat świdnicki,06
0618,Powiat tomaszowski,06
0619,Powiat włodawski,06
0620,Powiat zamojski,06
0661,Powiat m.Biała Podlaska,06
0662,Powiat m.Chełm,06
0663,Powiat m.Lublin,06
0664,Powiat m.Zamość,06
0801,Powiat gorzowski,08
0802,Powiat krośnieński,08
0803,Powiat międzyrzecki,08
0804,Powiat nowosolski,08
0805,Powiat słubicki,08
0806,Powiat strzelecko-drezdenecki,08
0807,Powiat sulęciński,08
0808,Powiat świebodziński,08
0809,Powiat zielonogórski,08
0810,Powiat żagański,08
0811,Powiat żarski,08
0812,Powiat wschowski,08
0861,Powiat m.Gorzów Wielkopolski,08
0862,Powiat m.Zielona Góra,08
1001,Powiat bełchatowski,10
1002,Powiat kutnowski,10
1003,Powiat łaski,10
1004,Powiat łęczycki,10
1005,Powiat łowicki,10
1006,Powiat łódzki wschodni,10
1007,Powiat opoczyński,10
1008,Powiat pabianicki,10
1009,Powiat pajęczański,10
1010,Powiat piotrkowski,10
1011,Powiat poddębicki,10
1012,Powiat radomszczański,10
1013,Powiat rawski,10
1014,Powiat sieradzki,10
1015,Powiat skierniewicki,10
1016,Powiat tomaszowski,10
1017,Powiat wieluński,10
1018,Powiat wieruszowski,10
1019,Powiat zduńskowolski,10
1020,Powiat zgierski,10
1021,Powiat brzeziński,10
1061,Powiat m.Łódź,10
1062,Powiat m.Piotrków Trybunalski,10
1063,Powiat m.Skierniewice,10
1201,Powiat bocheński,12
1202,Powiat brzeski,12
1203,Powiat chrzanowski,12
1204,Powiat dąbrowski,12
1205,Powiat gorlicki,12
1206,Powiat krakowski,12
1207,Powiat limanowski,12
1208,Powiat miechowski,12
1209,Powiat myślenicki,12
1210,Powiat nowosądecki,12
1211,Powiat nowotarski,12
1212,Powiat olkuski,12
1213,Powiat oświęcimski,12
1214,Powiat proszowicki,12
1215,Powiat suski,12
1216,Powiat tarnowski,12
1217,Powiat tatrzański,12
1218,Powiat wadowicki,12
1219,Powiat wielicki,12
1261,Powiat m.Kraków,12
1262,Powiat m.Nowy Sącz,12
1263,Powiat m.Tarnów,12
1401,Powiat białobrzeski,14
1402,Powiat ciechanowski,14
1403,Powiat garwoliński,14
1404,Powiat gostyniński,14
1405,Powiat grodziski,14
1406,Powiat grójecki,14
1407,Powiat kozienicki,14
1408,Powiat legionowski,14
1409,Powiat lipski,14
1410,Powiat łosicki,14
1411,Powiat makowski,14
1412,Powiat miński,14
1413,Powiat mławski,14
1414,Powiat nowodworski,14
1415,Powiat ostrołęcki,14
1416,Powiat ostrowski,14
1417,Powiat otwocki,14
1418,Powiat piaseczyński,14
1419,Powiat płocki,14
1420,Powiat płoński,14
1421,Powiat pruszkowski,14
1422,Powiat przasnyski,14
1423,Powiat przysuski,14
1424,Powiat pułtuski,14
1425,Powiat radomski,14
1426,Powiat siedlecki,14
1427,Powiat sierpecki,14
1428,Powiat sochaczewski,14
1429,Powiat sokołowski,14
1430,Powiat szydłowiecki,14
1432,Powiat warszawski zachodni,14
1433,Powiat węgrowski,14
1434,Powiat wołomiński,14
1435,Powiat wyszkowski,14
1436,Powiat zwoleński,14
1437,Powiat żuromiński,14
1438,Powiat żyrardowski,14
1461,Powiat m.Ostrołęka,14
1462,Powiat m.Płock,14
1463,Powiat m.Radom,14
1464,Powiat m.Siedlce,14
1465,Powiat m. st. Warszawa,14
1601,Powiat brzeski,16
1602,Powiat głubczycki,16
1603,Powiat kędzierzyńsko-kozielski,16
1604,Powiat kluczborski,16
1605,Powiat krapkowicki,16
1606,Powiat namysłowski,16
1607,Powiat nyski,16
1608,Powiat oleski,16
1609,Powiat opolski,16
1610,Powiat prudnicki,16
1611,Powiat strzelecki,16
1661,Powiat m.Opole,16
1801,Powiat bieszczadzki,18
1802,Powiat brzozowski,18
1803,Powiat dębicki,18
1804,Powiat jarosławski,18
1805,Powiat jasielski,18
1806,Powiat kolbuszowski,18
1807,Powiat krośnieński,18
1808,Powiat leżajski,18
1809,Powiat lubaczowski,18
1810,Powiat łańcucki,18
1811,Powiat mielecki,18
1812,Powiat niżański,18
1813,Powiat przemyski,18
1814,Powiat przeworski,18
1815,Powiat ropczycko-sędziszowski,18
1816,Powiat rzeszowski,18
1817,Powiat sanocki,18
1818,Powiat stalowowolski,18
1819,Powiat strzyżowski,18
1820,Powiat tarnobrzeski,18
1821,Powiat leski,18
1861,Powiat m.Krosno,18
1862,Powiat m.Przemyśl,18
1863,Powiat m.Rzeszów,18
1864,Powiat m.Tarnobrzeg,18
2001,Powiat augustowski,20
2002,Powiat białostocki,20
2003,Powiat bielski,20
2004,Powiat grajewski,20
2005,Powiat hajnowski,20
2006,Powiat kolneński,20
2007,Powiat łomżyński,20
