gmina_code,gmina_name,year,tot_pop,working_pop,higher,post_secondary,secondary,secondary_general,secondary_vocational,vocational,primary
0200000,DOLNOŚLĄSKIE,1998,2948212,1603071,146699,,577461,,,534634,814891
0201000,Powiat bolesławiecki,1998,86359,47068,2649,,13847,,,16302,25419
0201011,Bolesławiec (1),1998,43503,24764,2213,,9786,,,7924,11100
0201022,Bolesławiec (2),1998,10340,5345,84,,882,,,2158,3363
0201032,Gromadka (2),1998,5851,3066,72,,638,,,1062,1918
0201043,Nowogrodziec (3),1998,14096,7251,140,,1264,,,2802,4785
0201044,Nowogrodziec - miasto (4),1998,3773,1993,75,,520,,,760,1079
0201045,Nowogrodziec - obszar wiejski (5),1998,10323,5258,65,,744,,,2042,3706
0201052,Osiecznica (2),1998,5035,2672,61,,467,,,858,1778
0201062,Warta Bolesławiecka (2),1998,7534,3970,79,,810,,,1498,2475
0202000,Powiat dzierżoniowski,1998,113302,61299,3344,,18930,,,20485,36221
0202011,Bielawa (1),1998,34153,18670,1028,,5484,,,6393,11279
0202021,Dzierżoniów (1),1998,37573,21096,1653,,7863,,,6465,11482
0202031,Pieszyce (1),1998,10289,5284,175,,1418,,,1887,3486
0202041,Piława Górna (1),1998,7001,3750,114,,956,,,1371,2199
0202052,Dzierżoniów (2),1998,10023,5062,140,,1246,,,1870,3205
0202062,Łagiewniki (2),1998,7544,3949,114,,1034,,,1297,2308
0202073,Niemcza (3),1998,6719,3488,120,,929,,,1202,2262
0202074,Niemcza - miasto (4),1998,3600,1903,82,,560,,,638,1232
0202075,Niemcza - obszar wiejski (5),1998,3119,1585,38,,369,,,564,1030
0203000,Powiat głogowski,1998,88576,47479,3261,,16048,,,18425,20946
0203011,Głogów (1),1998,70438,38356,3037,,14392,,,14954,14751
0203022,Głogów (2),1998,4565,2304,58,,481,,,976,1503
0203032,Jerzmanowa (2),1998,2621,1331,35,,199,,,485,887
0203042,Kotla (2),1998,4216,2102,55,,445,,,753,1425
0203052,Pęcław (2),1998,2329,1188,27,,157,,,446,837
0203062,Żukowice (2),1998,4407,2198,49,,374,,,811,1543
0204000,Powiat górowski,1998,36843,18570,800,,4889,,,6512,11639
0204013,Góra (3),1998,20393,10349,536,,3149,,,3665,6085
0204014,Góra - miasto (4),1998,11557,6023,432,,2397,,,2117,2898
0204015,Góra - obszar wiejski (5),1998,8836,4326,104,,752,,,1548,3187
0204022,Jemielno (2),1998,3201,1531,45,,272,,,501,1251
0204032,Niechlów (2),1998,5395,2751,94,,524,,,944,1802
0204043,Wąsosz (3),1998,7854,3939,125,,944,,,1402,2501
0204044,Wąsosz - miasto (4),1998,2911,1469,71,,507,,,490,788
0204045,Wąsosz - obszar wiejski (5),1998,4943,2470,54,,437,,,912,1713
0205000,Powiat jaworski,1998,53126,27667,1293,,8638,,,9863,15328
0205011,Jawor (1),1998,23524,12523,851,,5042,,,4229,5753
0205023,Bolków (3),1998,11585,6028,214,,1639,,,2331,3665
0205024,Bolków - miasto (4),1998,5599,3101,149,,1065,,,1149,1642
0205025,Bolków - obszar wiejski (5),1998,5986,2927,65,,574,,,1182,2023
0205032,Męcinka (2),1998,5175,2571,57,,564,,,957,1720
0205042,Mściwojów (2),1998,4362,2236,67,,479,,,827,1364
0205052,Paszowice (2),1998,4129,2033,54,,442,,,789,1322
0205062,Wądroże Wielkie (2),1998,4351,2276,50,,472,,,730,1504
0206000,Powiat karkonoski,1998,66859,36250,2014,,11717,,,12722,20335
0206011,Karpacz (1),1998,5734,3379,311,,1434,,,1039,1471
0206021,Kowary (1),1998,12383,6866,371,,2301,,,2368,3665
