,powiat,year,total_project_value,total_eligible_expenditure,cofinancing_value,wojewodztwo,number_of_projects,eu_cofinancing_rate
0,aleksandrowski,2015,4911590.909761905,4861796.920714285,4254338.590714286,KUJAWSKO-POMORSKIE,4,87.74920691502365
1,aleksandrowski,2016,11750165.975289337,11340216.714430124,9289036.249792444,KUJAWSKO-POMORSKIE,20,83.37522327031087
2,aleksandrowski,2017,27489076.311299343,24403338.06340252,19433420.442321427,KUJAWSKO-POMORSKIE,45,81.6679859166403
3,aleksandrowski,2018,41353400.2038304,36248780.179717995,28661810.26988028,KUJAWSKO-POMORSKIE,80,81.33434529788659
4,aleksandrowski,2019,58567362.81154555,52635305.81452735,41733041.033923805,KUJAWSKO-POMORSKIE,97,81.10844201148889
5,aleksandrowski,2020,65163281.258272775,55369585.84508066,44502419.11795383,KUJAWSKO-POMORSKIE,113,82.21955126374627
6,aleksandrowski,2021,75609885.40057488,64849452.923650876,51419504.87772962,KUJAWSKO-POMORSKIE,96,81.05848770168468
7,aleksandrowski,2022,61172365.7988588,51152742.14319257,41916320.035378724,KUJAWSKO-POMORSKIE,65,82.89364120516673
8,aleksandrowski,2023,59725429.551913716,50017755.33063154,40224573.71791326,KUJAWSKO-POMORSKIE,49,81.74284706264714
9,ancucki,2014,16154761.336034723,11428149.324069446,8404462.030046295,PODKARPACKIE,4,29.188713454828502
10,ancucki,2015,48846500.32771991,33811699.28286883,26059675.684425928,PODKARPACKIE,15,60.76558927650967
11,ancucki,2016,82385845.86477704,61105478.244721286,45779907.59744157,PODKARPACKIE,44,55.50627813278019
12,ancucki,2017,150605952.8584832,118187388.9514175,90118853.29740158,PODKARPACKIE,90,64.46299339676769
13,ancucki,2018,160595200.76148745,127367581.11354281,99540650.93251152,PODKARPACKIE,119,64.0597022349704
14,ancucki,2019,123312428.1095441,97634651.60895693,77189904.57869919,PODKARPACKIE,107,67.43051116031936
15,ancucki,2020,104773128.50208516,90162707.95484354,71305152.16036765,PODKARPACKIE,116,64.77566020106477
16,ancucki,2021,88418384.73123983,75761998.25537318,57509054.068222925,PODKARPACKIE,84,61.250439888377414
17,ancucki,2022,79161702.68512602,67989151.43018058,52042699.30901306,PODKARPACKIE,76,59.90116801501357
