,powiat_std,year,total_project_value,total_eligible_expenditure,cofinancing_value,wojewodztwo,powiat,number_of_projects,eu_cofinancing_rate
0,aleksandrowski,2015,4911590.909761905,4861796.920714285,4254338.590714286,KUJAWSKO-POMORSKIE,aleksandrowski,4,87.74920691502365
1,aleksandrowski,2016,11750165.975289337,11340216.714430124,9289036.249792444,KUJAWSKO-POMORSKIE,aleksandrowski,20,83.37522327031087
2,aleksandrowski,2017,27489076.311299343,24403338.06340252,19433420.442321427,KUJAWSKO-POMORSKIE,aleksandrowski,45,81.6679859166403
3,aleksandrowski,2018,41353400.2038304,36248780.179717995,28661810.26988028,KUJAWSKO-POMORSKIE,aleksandrowski,80,81.33434529788659
4,aleksandrowski,2019,58567362.81154555,52635305.81452735,41733041.033923805,KUJAWSKO-POMORSKIE,aleksandrowski,97,81.10844201148889
5,aleksandrowski,2020,67396084.05327277,55369585.84508066,45113689.90045383,KUJAWSKO-POMORSKIE,aleksandrowski,114,81.51284761334946
6,aleksandrowski,2021,77842688.19557488,64849452.923650876,52030775.660229616,KUJAWSKO-POMORSKIE,aleksandrowski,97,80.45937525894567
7,aleksandrowski,2022,63405168.5938588,51152742.14319257,42527590.81787873,KUJAWSKO-POMORSKIE,aleksandrowski,66,82.13427392852542
8,aleksandrowski,2023,66774426.47191372,50017755.33063154,44727845.33141327,KUJAWSKO-POMORSKIE,aleksandrowski,52,81.31998359553332
9,aleksandrowski,2024,16435280.91536435,0.0,13091983.258061754,KUJAWSKO-POMORSKIE,aleksandrowski,25,82.76936670487963
10,aleksandrowski,2025,28976815.45853722,0.0,22434409.324746523,KUJAWSKO-POMORSKIE,aleksandrowski,34,81.51723564595768
11,aleksandrowski,2026,20518570.1213904,0.0,16003757.0870743,KUJAWSKO-POMORSKIE,aleksandrowski,26,83.24967319044667
12,aleksandrowski,2027,14184042.29663363,0.0,10992484.848861787,KUJAWSKO-POMORSKIE,aleksandrowski,13,84.37385856489263
13,aleksandrowski,2028,2452027.04201,0.0,2229703.641905,KUJAWSKO-POMORSKIE,aleksandrowski,5,91.198430170251
14,aleksandrowski,2029,1454806.59,0.0,1382066.2584,KUJAWSKO-POMORSKIE,aleksandrowski,3,94.99999985565091
15,ancucki,2014,16154761.336034723,11428149.324069446,8404462.030046295,PODKARPACKIE,łańcucki,4,29.188713454828502
16,ancucki,2015,48846500.32771991,33811699.28286883,26059675.684425928,PODKARPACKIE,łańcucki,15,60.76558927650967
17,ancucki,2016,82385845.86477704,61105478.244721286,45779907.59744157,PODKARPACKIE,łańcucki,44,55.50627813278019
18,ancucki,2017,150605952.8584832,118187388.9514175,90118853.29740158,PODKARPACKIE,łańcucki,90,64.46299339676769
19,ancucki,2018,160595200.76148745,127367581.11354281,99540650.93251152,PODKARPACKIE,łańcucki,119,64.0597022349704
20,ancucki,2019,123312428.1095441,97634651.60895693,77189904.57869919,PODKARPACKIE,łańcucki,107,67.43051116031936
21,ancucki,2020,104773128.50208516,90162707.95484354,71305152.16036765,PODKARPACKIE,łańcucki,116,64.77566020106477
22,ancucki,2021,105438670.16329008,75761998.25537318,64798033.462548316,PODKARPACKIE,łańcucki,85,63.91768935275905
23,ancucki,2022,96181988.1171763,67989151.43018058,59331678.70333846,PODKARPACKIE,łańcucki,77,62.979916820379465
24,ancucki,2023,111417714.95025073,51145200.04292993,71568490.26882978,PODKARPACKIE,łańcucki,60,58.407233836310354
25,ancucki,2024,73964793.39000183,226308.47643849207,51368770.53031875,PODKARPACKIE,łańcucki,37,52.0983522516261
26,ancucki,2025,86414747.5131638,223972.76215277778,59994381.5765516,PODKARPACKIE,łańcucki,56,54.29498810365217
27,ancucki,2026,73242030.70954818,0.0,47119999.73040576,PODKARPACKIE,łańcucki,35,49.431568755604
28,ancucki,2027,62570542.105288625,0.0,38977223.49746899,PODKARPACKIE,łańcucki,18,47.50051936968064
29,ancucki,2028,17743359.831157513,0.0,15679469.238491148,PODKARPACKIE,łańcucki,2,3.163586773745873
