JPT_POWIER,JPT_KOD_JE,JPT_NAZWA_,GDP_2000,GDP_2001,GDP_2002,GDP_2003,GDP_2004,GDP_2005,GDP_2006,GDP_2007,GDP_2008,GDP_2009,GDP_2010,GDP_2011,GDP_2012,GDP_2013,GDP_2014,GDP_2015,GDP_2016,GDP_2017,GDP_2018,GDP_2019,GDP_2020
4889,3215011,Szczecinek,388942208.0,255571184.0,764469760.0,346765152.0,216011712.0,292611712.0,276983456.0,230904016.0,398763808.0,442046208.0,543787136.0,473442176.0,541887168.0,516689152.0,801594304.0,860292608.0,888183744.0,954019648.0,947258496.0,777585088.0,1187845376.0
15063,0619072,Wola Uhruska,51651676.0,47134408.0,49608568.0,55630144.0,81217168.0,52901656.0,54723128.0,70304176.0,68624656.0,93087328.0,59883044.0,65559376.0,47314048.0,60463008.0,48808472.0,62223080.0,51838844.0,56850216.0,49920232.0,47099648.0,54835088.0
19465,2214023,Gniew,1287878016.0,1016623488.0,1386642432.0,1327758208.0,1232018432.0,1805109248.0,1774072320.0,1628270464.0,1460860288.0,1359123968.0,2087210240.0,1373720832.0,2018203904.0,1891758848.0,3117452288.0,2506531584.0,3205776128.0,3035729408.0,3717438208.0,2966688768.0,4091925248.0
9068,2214032,Morzeszczyn,599843968.0,373755328.0,566826496.0,613695424.0,558617344.0,869301568.0,965953536.0,863616192.0,530525056.0,590700992.0,870113088.0,639286144.0,851790720.0,994050048.0,1326386944.0,1323020032.0,1363477504.0,1538624256.0,1600747776.0,1345494272.0,1540672256.0
10903,1406062,Jasieniec,396897056.0,341138048.0,469042720.0,423566656.0,622927616.0,462727360.0,598383872.0,492668704.0,483761664.0,598019072.0,939424320.0,657457664.0,659636992.0,771366080.0,754849024.0,993201088.0,871720896.0,906488320.0,1004819200.0,1421450496.0,1232559360.0
24419,1407053,Kozienice,149334624.0,137717376.0,217549232.0,163172080.0,223064784.0,186212800.0,243026720.0,206218880.0,198427872.0,244140976.0,418849984.0,288549408.0,377152192.0,436941760.0,303158464.0,358486784.0,322024640.0,403591680.0,449469696.0,557692032.0,486056640.0
12143,1811052,Mielec,1318904960.0,1965520128.0,1864375168.0,1346111104.0,1944303104.0,2756958464.0,3041337344.0,2650861568.0,2436487168.0,2173064960.0,3799414784.0,3019585024.0,4676123648.0,4431213056.0,3537277184.0,3325010176.0,3873625088.0,4734448128.0,4447223296.0,5342401024.0,5659862528.0
5541,1811022,Borowa,833944576.0,1225099008.0,1043957760.0,893150016.0,1180004352.0,1491929856.0,1735345408.0,1940805888.0,1646904704.0,1280647040.0,2081524480.0,1892697088.0,3075080960.0,2870734336.0,2210227200.0,1911281408.0,2303738624.0,2722469376.0,2484328192.0,2895595776.0,2985689088.0
7152,1811062,Padew Narodowa,834013184.0,1215107840.0,1041605888.0,888077696.0,1175140096.0,1489284096.0,1739269248.0,1947113472.0,1644584576.0,1277950976.0,2095154816.0,1886733312.0,3088652032.0,2887464448.0,2226257408.0,1907062912.0,2317916416.0,2744029440.0,2498585600.0,2904524032.0,2991506688.0
7417,1213062,Oświęcim,11833466880.0,13647038464.0,12413040640.0,10893986816.0,13099568128.0,13648171008.0,11604477952.0,10512637952.0,13001674752.0,11651362816.0,23274119168.0,18307688448.0,21297008640.0,21191010304.0,18529423360.0,20704968704.0,19461535744.0,22634657792.0,20523948032.0,27350366208.0,26524696576.0
